sku,product_name,series,category,list_price,own_price,price_29cm,price_ohouse,price_naver,price_coupang,weight_kg,supplier
RR-RAK-101,레어로우 랙 소파 테이블,랙,테이블,189000,160650,168682,163863,155830,152617,12,심플라인
RR-RAK-102,레어로우 랙 사이드 테이블,랙,테이블,157000,133450,140122,136119,129446,126777,8,심플라인
RR-RAK-103,레어로우 랙 유틸리티 랙,랙,수납,475000,403750,423937,411825,391637,383562,24,심플라인
RR-RAK-104,레어로우 랙 행거 랙,랙,수납,383000,325550,341827,332061,315783,309272,18,심플라인
RR-RAK-105,레어로우 랙 미니 랙,랙,수납,219000,186150,195457,189873,180565,176842,9,심플라인
RR-RAK-106,레어로우 랙 와이드 셸프,랙,수납,565000,480250,504262,489855,465842,456237,32,심플라인
RR-SYS-201,시스템000 1단 모듈,시스템000,수납,298000,253300,265965,258366,245701,240635,14,심플라인
RR-SYS-202,시스템000 2단 모듈,시스템000,수납,498000,423300,444465,431766,410601,402135,27,심플라인
RR-SYS-203,시스템000 3단 모듈,시스템000,수납,698000,593300,622965,605166,575501,563635,41,심플라인
RR-SYS-204,시스템000 코너 모듈,시스템000,수납,348000,295800,310590,301716,286926,281010,17,심플라인
RR-SYS-205,시스템000 도어 패널,시스템000,부속,89000,75650,79432,77163,73380,71867,4,심플라인
RR-WRK-301,레어로우 워크 데스크 1200,워크,데스크,458000,389300,408765,397086,377621,369835,28,심플라인
RR-WRK-302,레어로우 워크 데스크 1500,워크,데스크,528000,448800,471240,457776,435336,426360,34,심플라인
RR-WRK-303,레어로우 워크 체어,워크,체어,348000,295800,310590,301716,286926,281010,12,외주처A
RR-WRK-304,레어로우 워크 모니터암,워크,액세서리,168000,142800,149940,145656,138516,135660,3,외주처B
RR-WRK-305,레어로우 워크 케이블 트레이,워크,액세서리,78000,66300,69615,67626,64311,62985,2,외주처B
RR-HOM-401,홈 시리즈 TV 보드,홈,리빙,698000,593300,622965,605166,575501,563635,38,심플라인
RR-HOM-402,홈 시리즈 화분 스탠드,홈,리빙,128000,108800,114240,110976,105536,103360,5,외주처A
RR-HOM-403,홈 시리즈 행거,홈,리빙,218000,185300,194565,189006,179741,176035,8,심플라인
RR-LIF-501,10 COLORS 미니 사이드,라이프스타일,테이블,138000,117300,123165,119646,113781,111435,6,심플라인
RR-LIF-502,10 COLORS 스툴,라이프스타일,체어,168000,142800,149940,145656,138516,135660,5,심플라인
RR-LIF-503,10 COLORS 매거진 랙,라이프스타일,수납,98000,83300,87465,84966,80801,79135,3,외주처A
