post_id,post_date,account_handle,country,format,theme,reach,likes,comments,saves,shares,ctr,purchase_conversion,post_url
O0022,2026-05-10,@demaf.us,US,카드뉴스,임상 결과 발표,38751,369,11,69,20,2.04%,0.08%,https://instagram.com/demaf-mock/p/0022
O0026,2026-04-18,@demaf.global,GLB,콜라보영상,임상 결과 발표,17586,1893,91,147,133,1.25%,0.45%,https://instagram.com/demaf-mock/p/0026
O0001,2026-04-15,@demaf.official,KR,스토리하이라이트,임상 결과 발표,64832,385,13,73,33,1.56%,0.15%,https://instagram.com/demaf-mock/p/0001
O0038,2026-05-11,@demaf.global,GLB,카드뉴스,한정판 unbox,29685,218,5,39,21,0.66%,0.54%,https://instagram.com/demaf-mock/p/0038
O0007,2026-04-29,@demaf.official,KR,카드뉴스,성분 narrative,98796,3023,88,534,154,4.01%,0.78%,https://instagram.com/demaf-mock/p/0007
O0030,2026-04-25,@demaf.global,GLB,스토리하이라이트,성분 narrative,20739,215,9,16,11,3.26%,0.9%,https://instagram.com/demaf-mock/p/0030
O0008,2026-05-02,@demaf.official,KR,카드뉴스,한정판 unbox,69428,856,14,98,21,3.51%,0.41%,https://instagram.com/demaf-mock/p/0008
O0033,2026-05-03,@demaf.global,GLB,카드뉴스,성분 narrative,22825,408,5,33,14,3.54%,0.71%,https://instagram.com/demaf-mock/p/0033
O0021,2026-05-06,@demaf.us,US,콜라보영상,한정판 unbox,34578,672,26,95,35,2.68%,1.12%,https://instagram.com/demaf-mock/p/0021
O0010,2026-05-06,@demaf.official,KR,릴스,라이프스타일 (모닝 루틴),54257,1300,13,75,116,3.73%,1.19%,https://instagram.com/demaf-mock/p/0010
O0019,2026-05-04,@demaf.us,US,이미지,Before-After,24644,547,14,44,41,0.94%,1.01%,https://instagram.com/demaf-mock/p/0019
O0037,2026-05-08,@demaf.global,GLB,스토리하이라이트,성분 narrative,33327,231,10,29,6,3.1%,0.14%,https://instagram.com/demaf-mock/p/0037
O0011,2026-05-07,@demaf.official,KR,스토리하이라이트,사용자 후기 큐레이션,125961,290,8,15,16,3.72%,0.95%,https://instagram.com/demaf-mock/p/0011
O0004,2026-04-22,@demaf.official,KR,콜라보영상,임상 결과 발표,58760,4894,72,891,303,4.22%,1.07%,https://instagram.com/demaf-mock/p/0004
O0032,2026-05-02,@demaf.global,GLB,스토리하이라이트,한정판 unbox,40897,97,3,19,2,2.22%,0.92%,https://instagram.com/demaf-mock/p/0032
O0014,2026-04-23,@demaf.us,US,카드뉴스,팀 소개 (창업자 출연),26213,553,11,63,26,3.27%,1.04%,https://instagram.com/demaf-mock/p/0014
O0012,2026-05-11,@demaf.official,KR,카드뉴스,신제품 티저,108616,1570,17,156,129,4.28%,0.85%,https://instagram.com/demaf-mock/p/0012
O0024,2026-04-15,@demaf.global,GLB,스토리하이라이트,팀 소개 (창업자 출연),37197,88,3,15,5,1.21%,0.19%,https://instagram.com/demaf-mock/p/0024
O0005,2026-04-23,@demaf.official,KR,이미지,팀 소개 (창업자 출연),158522,1572,36,222,137,1.13%,0.34%,https://instagram.com/demaf-mock/p/0005
O0020,2026-05-05,@demaf.us,US,릴스,성분 narrative,36859,2272,23,144,186,1.64%,0.42%,https://instagram.com/demaf-mock/p/0020
O0039,2026-05-05,@demaf.us,US,릴스,Before-After,78000,4200,320,1800,540,3.8%,1.4%,https://instagram.com/demaf-mock/p/hit1
O0003,2026-04-18,@demaf.official,KR,스토리하이라이트,사용자 후기 큐레이션,43336,385,15,48,20,3.36%,0.18%,https://instagram.com/demaf-mock/p/0003
O0018,2026-05-02,@demaf.us,US,릴스,사용자 후기 큐레이션,36450,2243,72,350,157,4.07%,1.09%,https://instagram.com/demaf-mock/p/0018
O0002,2026-04-17,@demaf.official,KR,이미지,Before-After,113505,2324,58,414,193,2.65%,1.01%,https://instagram.com/demaf-mock/p/0002
O0017,2026-04-30,@demaf.us,US,스토리하이라이트,신제품 티저,48968,64,1,8,5,1.12%,0.06%,https://instagram.com/demaf-mock/p/0017
O0040,2026-05-09,@demaf.official,KR,콜라보영상,신제품 티저,92000,6800,510,3100,980,4.2%,1.8%,https://instagram.com/demaf-mock/p/hit2
O0036,2026-05-06,@demaf.global,GLB,릴스,Before-After,26028,1560,58,124,122,1.63%,0.42%,https://instagram.com/demaf-mock/p/0036
O0041,2026-04-22,@demaf.global,GLB,스토리하이라이트,팀 소개 (창업자 출연),8200,110,4,28,5,0.4%,0.05%,https://instagram.com/demaf-mock/p/low1
O0016,2026-04-26,@demaf.us,US,콜라보영상,임상 결과 발표,16979,544,13,81,35,2.31%,0.48%,https://instagram.com/demaf-mock/p/0016
O0015,2026-04-24,@demaf.us,US,이미지,팀 소개 (창업자 출연),43966,815,26,50,78,2.71%,0.15%,https://instagram.com/demaf-mock/p/0015
O0006,2026-04-26,@demaf.official,KR,이미지,팀 소개 (창업자 출연),126086,1990,61,286,84,1.94%,0.36%,https://instagram.com/demaf-mock/p/0006
O0028,2026-04-22,@demaf.global,GLB,이미지,신제품 티저,31173,589,21,39,23,0.94%,1.03%,https://instagram.com/demaf-mock/p/0028
O0029,2026-04-24,@demaf.global,GLB,카드뉴스,성분 narrative,15305,768,37,48,21,1.59%,0.18%,https://instagram.com/demaf-mock/p/0029
O0023,2026-05-11,@demaf.us,US,콜라보영상,성분 narrative,46035,914,23,162,23,3.07%,1.11%,https://instagram.com/demaf-mock/p/0023
O0035,2026-05-05,@demaf.global,GLB,스토리하이라이트,라이프스타일 (모닝 루틴),29623,56,2,10,3,0.8%,1.02%,https://instagram.com/demaf-mock/p/0035
O0025,2026-04-17,@demaf.global,GLB,카드뉴스,한정판 unbox,28353,705,11,51,51,1.97%,0.06%,https://instagram.com/demaf-mock/p/0025
O0027,2026-04-21,@demaf.global,GLB,카드뉴스,라이프스타일 (모닝 루틴),25132,388,7,34,29,2.38%,1.2%,https://instagram.com/demaf-mock/p/0027
O0031,2026-04-30,@demaf.global,GLB,카드뉴스,임상 결과 발표,25340,403,10,40,18,3.91%,0.27%,https://instagram.com/demaf-mock/p/0031
O0034,2026-05-04,@demaf.global,GLB,스토리하이라이트,성분 narrative,28519,106,2,16,8,3.56%,0.88%,https://instagram.com/demaf-mock/p/0034
O0013,2026-04-22,@demaf.us,US,카드뉴스,Before-After,24376,715,25,123,23,3.14%,1.18%,https://instagram.com/demaf-mock/p/0013
O0009,2026-05-04,@demaf.official,KR,스토리하이라이트,신제품 티저,83468,718,21,82,35,1.9%,0.53%,https://instagram.com/demaf-mock/p/0009
