brand_id,brand_name,country,category,ig_handle,ig_followers,founded_year,monitoring_priority,note
BR001,Glow Recipe,US,스킨케어,@glowrecipe,1850000,2014,★★★,"K-beauty 코어, US 메인스트림 진입"
BR002,Tower 28,US,스킨/메이크업,@tower28beauty,580000,2019,★★★,"민감성 피부 친화, Sephora 핵심"
BR003,Fenty Skin,US,스킨케어,@fentyskin,2300000,2020,★★,"Rihanna, 인플루언서 모델"
BR004,Drunk Elephant,US,스킨케어,@drunkelephant,1200000,2012,★★,성분 중심 마케팅
BR005,Rare Beauty,US,메이크업,@rarebeauty,4100000,2020,★★★,"Selena Gomez, 정서·웰니스 결합"
BR006,Topicals,US,기능성,@topicals,610000,2020,★★★,"민감/문제성 피부, TikTok 강세"
BR007,Beauty of Joseon,KR,스킨케어,@beautyofjoseon,980000,2019,★★★,글로벌 K-beauty 1위 라인
BR008,TIRTIR,KR,베이스/스킨,@tirtir.korea,720000,2018,★★,쿠션·앰플 TikTok 바이럴
BR009,AMUSE,KR,메이크업,@amuse.official,430000,2018,★★,비건 라인
BR010,ROUND LAB,KR,스킨케어,@roundlab_official,520000,2017,★★,"성분 narrative, 약산성"
BR011,Mediheal,KR,마스크팩,@mediheal_official,890000,2009,★,마스크팩 카테고리 강자
BR012,ANUA,KR,스킨케어,@anua_official,410000,2018,★★★,어성초 토너 글로벌 히트
BR013,Tirtir Japan,JP,베이스,@tirtir_japan,150000,2022,★,JP 진출 사례
BR014,Cosrx,KR,스킨케어,@cosrx,1700000,2014,★★,Amazon US 1위 K-beauty
BR015,Naturium,US,스킨케어,@naturium,680000,2019,★★,Susan Yara 인플루언서 창업
BR016,U Beauty,US,기능성,@ubeauty,230000,2019,★,고가 라인 비교군
BR017,Saie,US,메이크업,@saiehello,510000,2019,★★,클린 메이크업
BR018,Innisfree,KR,스킨/메이크업,@innisfreeofficial,1200000,2000,★,1세대 K-beauty 비교군
BR019,Laneige,KR,스킨케어,@laneige_kr,820000,1994,★★,Sephora 강세 (슬리핑 마스크)
BR020,Then I Met You,US,스킨케어,@thenimetyou,95000,2018,★,Soko Glam 창업자 라인
