post_id,post_date,brand_id,brand_name,country,ig_handle,format,theme,main_hook,likes,comments,saves,shares,engagement_rate,surge_flag
P0002,2026-05-11,BR001,Glow Recipe,US,@glowrecipe,릴스,K-beauty 루틴 소개,패키지,144053,7735,12892,8249,9.35%,N
P0083,2026-05-08,BR020,Then I Met You,US,@thenimetyou,릴스,민감성 피부 사례,비건,6301,246,694,609,8.26%,N
P0034,2026-05-09,BR008,TIRTIR,KR,@tirtir.korea,릴스,글로벌 매거진 픽업,비건,32229,1501,2814,3114,5.51%,N
P0055,2026-05-10,BR013,Tirtir Japan,JP,@tirtir_japan,이미지,한정판 패키지 unbox,민감성 안전,6072,108,609,529,4.88%,Y
P0085,2026-05-11,BR020,Then I Met You,US,@thenimetyou,릴스,Sephora/Amazon 입점 announcement,한정판,8461,176,947,478,10.59%,Y
P0016,2026-05-14,BR003,Fenty Skin,US,@fentyskin,카드뉴스,신제품 런칭 티저,콜라보,43667,2318,7779,2529,2.45%,N
P0031,2026-05-08,BR007,Beauty of Joseon,KR,@beautyofjoseon,이미지,병행 사용 루틴 데모,패키지,29481,1396,4178,3038,3.89%,N
P0040,2026-05-13,BR009,AMUSE,KR,@amuse.official,이미지,신제품 런칭 티저,비건,5683,88,316,472,1.53%,N
P0009,2026-05-13,BR002,Tower 28,US,@tower28beauty,이미지,리뷰 모음 (UGC 큐레이션),지속력,23192,639,2534,550,4.64%,Y
P0022,2026-05-13,BR005,Rare Beauty,US,@rarebeauty,이미지,Sephora/Amazon 입점 announcement,가격,154332,8847,22889,10037,4.78%,Y
P0063,2026-05-12,BR015,Naturium,US,@naturium,릴스,팬덤 콘텐츠 (해시태그 챌린지),콜라보,59328,3327,7902,4668,11.06%,Y
P0084,2026-05-11,BR020,Then I Met You,US,@thenimetyou,이미지,Before-After 사용 후기,한정판,995,32,169,114,1.38%,N
P0077,2026-05-10,BR018,Innisfree,KR,@innisfreeofficial,카드뉴스,성분 narrative (vitamin C / niacinamide / mugwort),텍스처,43006,700,6919,1867,4.37%,N
P0062,2026-05-11,BR014,Cosrx,KR,@cosrx,릴스,팬덤 콘텐츠 (해시태그 챌린지),결과 후기,56291,2988,3450,3264,3.88%,N
P0011,2026-05-14,BR002,Tower 28,US,@tower28beauty,릴스,비건/클린뷰티 메시지,결과 후기,38135,1706,6772,1176,8.24%,N
P0052,2026-05-08,BR012,ANUA,KR,@anua_official,카드뉴스,성분 narrative (vitamin C / niacinamide / mugwort),비건,12614,438,1000,1470,3.79%,N
P0058,2026-05-11,BR014,Cosrx,KR,@cosrx,콜라보영상,리뷰 모음 (UGC 큐레이션),가격,161472,7669,28122,8828,12.12%,N
P0035,2026-05-12,BR008,TIRTIR,KR,@tirtir.korea,이미지,글로벌 매거진 픽업,패키지,25139,656,3904,2140,4.42%,Y
P0030,2026-05-11,BR007,Beauty of Joseon,KR,@beautyofjoseon,콜라보영상,신제품 런칭 티저,성분,39185,624,6142,1674,4.86%,N
P0033,2026-05-13,BR008,TIRTIR,KR,@tirtir.korea,스토리하이라이트,Before-After 사용 후기,한정판,13504,634,1124,287,2.16%,Y
P0010,2026-05-12,BR002,Tower 28,US,@tower28beauty,이미지,민감성 피부 사례,결과 후기,12879,518,1951,1109,2.84%,N
P0050,2026-05-08,BR012,ANUA,KR,@anua_official,릴스,인플루언서 GRWM,결과 후기,12989,574,1856,501,3.88%,N
P0056,2026-05-09,BR013,Tirtir Japan,JP,@tirtir_japan,스토리하이라이트,한정판 패키지 unbox,한정판,589,27,93,25,0.49%,N
P0076,2026-05-12,BR017,Saie,US,@saiehello,카드뉴스,K-beauty 루틴 소개,결과 후기,23092,392,2191,2672,5.56%,Y
P0019,2026-05-11,BR004,Drunk Elephant,US,@drunkelephant,카드뉴스,비건/클린뷰티 메시지,결과 후기,14183,398,788,402,1.31%,N
P0004,2026-05-13,BR001,Glow Recipe,US,@glowrecipe,콜라보영상,신제품 런칭 티저,비건,155559,5023,19251,16097,10.59%,N
P0069,2026-05-08,BR016,U Beauty,US,@ubeauty,릴스,비건/클린뷰티 메시지,성분,24109,967,3480,1534,13.08%,Y
P0043,2026-05-13,BR010,ROUND LAB,KR,@roundlab_official,콜라보영상,Sephora/Amazon 입점 announcement,민감성 안전,68972,3659,9831,6889,17.18%,Y
P0038,2026-05-11,BR009,AMUSE,KR,@amuse.official,이미지,TikTok Shop 라이브 클립,텍스처,17989,689,2163,1831,5.27%,Y
P0065,2026-05-13,BR015,Naturium,US,@naturium,이미지,신제품 런칭 티저,패키지,5885,220,948,487,1.11%,N
P0071,2026-05-10,BR016,U Beauty,US,@ubeauty,릴스,성분 narrative (vitamin C / niacinamide / mugwort),콜라보,22936,755,1112,1248,11.33%,Y
P0059,2026-05-08,BR014,Cosrx,KR,@cosrx,이미지,병행 사용 루틴 데모,한정판,30812,1638,3937,1946,2.25%,N
