meeting_id,meeting_date,project_id,attendee_count,action,owner,due_date,severity,status,note
MT001,2026-04-22,PRJ001,6,캐릭터 디자인 시안 3개 추가 작업,디자인팀,2026-05-06,중,완료,1차 시안 5/6 컨펌
MT002,2026-04-22,PRJ001,6,분기 정산 자료 준비,회계,2026-05-15,중,진행중,ABC 정산 데이터 대조 중
MT003,2026-04-23,PRJ002,4,굿즈 가격 적정성 시장 조사,차지현,2026-04-30,상,완료,팬덤 반응 기반 22% 조정
MT004,2026-04-29,PRJ003,8,개봉 마케팅 KPI 확정,마케팅,2026-05-08,상,지연,글로벌배급사 회신 대기
MT005,2026-04-29,PRJ003,8,OST 콜라보 음반사 계약 검토,법무,2026-05-13,상,진행중,CT006 조건 협상
MT006,2026-04-30,PRJ004,5,시즌2 5화 시나리오 확정,스토리팀,2026-05-20,중,진행중,2차 회의 5/14 예정
MT007,2026-05-06,PRJ005,4,완구사Z 라이선스 조건 1차 회신,차지현,2026-05-13,상,완료,8% 로열티로 응답
MT008,2026-05-06,PRJ002,4,텀블벅 페이지 카피 최종 검수,차지현,2026-05-16,중,진행중,마감 임박
MT009,2026-05-07,PRJ006,3,음반사W 홀드백 조항 재협의,법무,2026-05-21,상,지연,음반사 측 외부 변호사 검토
MT010,2026-05-08,PRJ003,7,노을여행 시사회 게스트 리스트,마케팅,2026-05-18,중,진행중,외부 평론가 5명 컨펌
MT011,2026-05-08,PRJ001,6,캐릭터 시안 컬러 가이드,디자인팀,2026-05-22,하,예정,
MT012,2026-05-13,PRJ008,5,일본 배급사 카피라이트 문구,법무,2026-05-20,상,진행중,공동 표기 합의 필요
MT013,2026-05-13,PRJ007,3,영문 더빙 1차 검수,현지화팀,2026-05-23,중,진행중,3 에피소드 완료
MT014,2026-05-14,PRJ001,6,ABC프로덕션 분기 정산 보고 초안,회계,2026-05-22,상,예정,지연되면 다음 분기로 이월
MT015,2026-05-14,PRJ002,4,굿즈 펀딩 D-30 SNS 캠페인 기획,마케팅,2026-05-21,중,예정,
MT016,2026-05-14,PRJ003,8,글로벌배급사 마케팅 KPI 재요청,차지현,2026-05-16,상,지연,"MT004 후속, 부사장님께 보고 필요"
MT017,2026-05-15,PRJ005,4,라이선스 카피라이트 표기 협의,법무,2026-05-23,중,예정,
MT018,2026-05-15,PRJ004,5,시즌2 5화 시나리오 2차 검토,스토리팀,2026-05-22,중,예정,MT006 후속
