후기ID,이벤트ID,학교ID,학교명,학년구분,차시,수업일자,후기작성일,작성앙꼬,이슈여부,이슈심각도,후기본문,대응상태
REV-0001,CAL-0002,SCH-001,새빛고등학교,고등,2,2026-03-18,2026-03-18,앙꼬2(현지),N,없음,워크북 사례 부분에서 학생들 반응이 폭발적이었어요. 이 부분은 다음 학기에도 그대로 유지하면 좋겠습니다,댓글확인완료
REV-0002,CAL-0004,SCH-001,새빛고등학교,고등,4,2026-04-01,2026-04-01,앙꼬2(현지),N,없음,담당 선생님이 적극적으로 도와주셔서 진행 매끄러웠어요. 다음 차시도 같은 분위기로 갈 수 있을 것 같아요,댓글확인완료
REV-0003,CAL-0005,SCH-002,한울중학교,중등,1,2026-04-01,2026-04-03,앙꼬1(주영),N,없음,학생들이 자기 아이디어를 발표하는 게 가장 인상 깊었어요. 한 친구는 이미 본인 채널 운영 중이라고 했고요,댓글확인완료
REV-0004,CAL-0006,SCH-002,한울중학교,중등,2,2026-04-08,2026-04-11,앙꼬1(주영),N,없음,학생들이 자기 아이디어를 발표하는 게 가장 인상 깊었어요. 한 친구는 이미 본인 채널 운영 중이라고 했고요,댓글확인완료
REV-0005,CAL-0008,SCH-002,한울중학교,중등,4,2026-04-22,2026-04-24,앙꼬1(주영),N,없음,워크북 사례 부분에서 학생들 반응이 폭발적이었어요. 이 부분은 다음 학기에도 그대로 유지하면 좋겠습니다,댓글확인완료
REV-0006,CAL-0009,SCH-002,한울중학교,중등,5,2026-04-29,2026-04-30,앙꼬1(주영),Y,중,고등학교는 6교시가 14:30 시작이 아니라 14:50이에요. 다른 학교들과 다른데 캘린더에 시작 시간 수정 부탁드려요,전화대응완료
REV-0007,CAL-0012,SCH-003,푸른중학교,중등,2,2026-04-22,2026-04-22,앙꼬2(현지),Y,중,고등학교는 6교시가 14:30 시작이 아니라 14:50이에요. 다른 학교들과 다른데 캘린더에 시작 시간 수정 부탁드려요,전화대응완료
REV-0008,CAL-0013,SCH-003,푸른중학교,중등,3,2026-04-29,2026-04-29,앙꼬2(현지),N,없음,오늘 분위기 매우 좋았어요. 학생들이 비즈니스 모델 캔버스 한 페이지를 다 채워서 발표까지 잘 마쳤습니다,댓글확인완료
REV-0009,CAL-0014,SCH-003,푸른중학교,중등,4,2026-05-06,2026-05-07,앙꼬2(현지),Y,심,오늘 수업 중 학생 1명이 다른 학생 워크북을 찢는 사건이 있었습니다. 담임 선생님께 인계했는데 본사에서 학교에 한 번 더 컨택 부탁드려요,미확인
REV-0010,CAL-0015,SCH-003,푸른중학교,중등,5,2026-05-13,2026-05-13,앙꼬2(현지),N,없음,담당 선생님이 적극적으로 도와주셔서 진행 매끄러웠어요. 다음 차시도 같은 분위기로 갈 수 있을 것 같아요,댓글확인완료
